bank_id,cert,bank_name,review_period,primary_source,primary_source_url,issuer_primary_source_url,credit_card_assessment,auto_finance_assessment,custody_asset_servicing_assessment,broker_dealer_trading_assessment,evidence_summary,review_method,reviewed_at
1216022,27314,SYNCHRONY BANK,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0001601712,yes,no,no,no,FFIEC 2025Q4 credit-card loans divided by net loans are above the policy threshold; excluded as credit-card dominant.,Call Report quantitative primary-source review.,2026-09-04
2121196,33947,TD BANK USA NATIONAL ASSN,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.td.com/ca/en/about-td/for-investors/annual-reports,yes,no,no,no,FFIEC 2025Q4 credit-card loans divided by net loans are above the policy threshold; excluded as credit-card dominant.,Call Report quantitative primary-source review.,2026-09-04
619877,32188,USAA FEDERAL SAVINGS BANK,2025-12-31,USAA 2025 Annual Report to Members,https://www.usaa.com/about/annual-report-members/,https://www.usaa.com/about/annual-report-members/,no,no,no,no,USAA states that its bank offers deposit credit-card consumer-lending mortgage and other banking products; it is not classified as a pure prohibited specialty under this legal-entity screen.,Issuer primary-source business review.,2026-09-04
722777,29950,SANTANDER BANK N A,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.santander.com/en/shareholders-and-investors/financial-and-economic-information/annual-reports,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
63069,17281,CITY NATIONAL BANK,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.rbc.com/investor-relations/annual-reports.html,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
3138146,57512,WESTERN ALLIANCE BANK,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0001212545,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
276579,2270,ZIONS BCORP N A,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000109380,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
694904,32541,FLAGSTAR BANK NATIONAL ASSN,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000910073,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
761806,18221,WEBSTER BANK NATIONAL ASSN,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.websterbank.com/about-us/investor-relations,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
485559,4977,FIRST HORIZON BANK,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000036966,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
60143,983,COMERICA BANK,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.comerica.com/about-us/investor-relations.html,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
197478,31628,EAST WEST BANK,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0001069157,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
936855,8273,UMB BANK NATIONAL ASSN,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000101382,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
208244,3832,OLD NATIONAL BANK,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000707179,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
1929247,33555,SOUTHSTATE BANK NA,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000764038,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
143662,17266,COLUMBIA BANK,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000887343,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
229801,9396,VALLEY NATIONAL BANK,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000714310,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
1842065,33306,CIBC BANK USA,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0001045520,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
34014,33692,STANDARD CHARTERED BANK PLC,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sc.com/en/investors/annual-report/,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
908508,33653,BANK OF CHINA,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.boc.cn/en/investor/ir3/,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
395238,873,SYNOVUS BANK,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0001838403,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
940311,34968,BANCO POPULAR DE PUERTO RICO,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000763901,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
2925666,35583,PINNACLE BANK,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0002082866,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
606046,11813,CADENCE BANK,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://ir.cadencebank.com/financial-information/annual-reports,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
682563,5510,FROST BANK,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000039263,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
339858,4214,BOKF NATIONAL ASSN,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000875357,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
379920,7888,FIRST NB OF PENNSYLVANIA,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000037808,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
2980209,57203,BARCLAYS BANK DELAWARE,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://home.barclays/investor-relations/annual-reports/,yes,no,no,no,FFIEC 2025Q4 credit-card loans divided by net loans are above the policy threshold; excluded as credit-card dominant.,Call Report quantitative primary-source review.,2026-09-04
3224580,57570,COMENITY CAPITAL BANK,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.breadfinancial.com/investors/financial-information/annual-reports,yes,no,no,no,FFIEC 2025Q4 credit-card loans divided by net loans are above the policy threshold; excluded as credit-card dominant.,Call Report quantitative primary-source review.,2026-09-04
962966,26881,SOFI BANK NATIONAL ASSN,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0001818874,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
